	X	alt4.cte	Var1	Var2	Var32	Var33	Var4	resp
1	set1.alt1	0	1	10	1	0	2	0
2	set1.alt2	0	5	10	0	0	10	0
3	set1.alt3	0	1	0.1	0	1	2	1
4	no.choice	1	0	0	0	0	0	0
5	set2.alt1	0	1	0.1	0	0	2	1
6	set2.alt2	0	1	10	1	0	10	0
7	set2.alt3	0	5	10	0	0	2	0
8	no.choice.1	1	0	0	0	0	0	0
9	set3.alt1	0	1	10	0	0	2	0
10	set3.alt2	0	1	0.1	0	1	10	0
11	set3.alt3	0	5	0.1	1	0	6	0
12	no.choice.2	1	0	0	0	0	0	1
13	set4.alt1	0	5	1	0	0	2	0
14	set4.alt2	0	3	0.1	1	0	10	0
15	set4.alt3	0	1	10	0	1	4	1
16	no.choice.3	1	0	0	0	0	0	0
17	set5.alt1	0	5	10	0	0	10	0
18	set5.alt2	0	5	0.1	0	1	10	0
19	set5.alt3	0	1	0.1	1	0	2	1
20	no.choice.4	1	0	0	0	0	0	0
21	set6.alt1	0	1	0.1	0	0	10	0
22	set6.alt2	0	1	0.1	1	0	10	0
23	set6.alt3	0	1	0.1	0	0	10	1
24	no.choice.5	1	0	0	0	0	0	0
25	set7.alt1	0	3	1	0	0	8	1
26	set7.alt2	0	3	1	0	0	10	0
27	set7.alt3	0	5	10	1	0	8	0
28	no.choice.6	1	0	0	0	0	0	0
29	set8.alt1	0	1	10	1	0	2	0
30	set8.alt2	0	5	0.1	1	0	4	0
31	set8.alt3	0	3	10	0	1	8	1
32	no.choice.7	1	0	0	0	0	0	0
33	set9.alt1	0	1	1	1	0	6	1
34	set9.alt2	0	5	0.1	0	1	8	0
35	set9.alt3	0	3	10	1	0	4	0
36	no.choice.8	1	0	0	0	0	0	0
